Santiago,5,CI,272896022,alert-1711905538/7aa70c5c-e484-4356-8ea6-281d8644589f,false,253,1745326800000,10,false.1,1,0,2,0.1,272896018,HAZARD,7aa70c5c-e484-4356-8ea6-281d8644589f
Santiago B,9,CI,272896018,alert-1711989771/7a4474ee-6493-42f6-80fe-00e94b92f28c,False,253,1745326800000,10,False,1,0,2,0,272896019,HAZARD,7a4474ee-6493-42f6-80fe-00e94b92f28c
Santiago D,5,CI,151551314,alert-4356006/c29ed6fa-7654-46c2-8b2e-2140daf24cf7,False,359,1748899354000,7,False,1,0,2,0,244709657,POLICE,c29ed6fa-7654-46c2-8b2e-2140daf24cf7
Estación Central C,3,CI,236663190,alert-4459387/fc38eb8a-05c7-4746-a85b-be1b57a77d38,False,179,1748899915000,6,False,1,3,2,0,163488397,POLICE,fc38eb8a-05c7-4746-a85b-be1b57a77d38
Santiago A,6,CI,182935016,alert-4415512/ccb4635e-05ff-4465-ba36-ea1a463cdc04,False,359,1748899879000,6,False,1,1,2,0,222007374,POLICE,ccb4635e-05ff-4465-ba36-ea1a463cdc04
Santiago D,10,CI,148144948,alert-1711116244/7e11e0de-2492-48c5-97af-45005dd79627,False,73,1745326800000,10,False,1,0,2,0,148144856,HAZARD,7e11e0de-2492-48c5-97af-45005dd79627
Santiago C,2,CI,153017509,alert-4311596/1073f856-8a55-45e6-831a-0b7b6b4e85c7,False,167,1748898652000,5,False,1,0,2,0,152162103,ACCIDENT,1073f856-8a55-45e6-831a-0b7b6b4e85c7
Estación Central C,7,CI,155675703,alert-4189119/12dd6e2b-5441-4d7c-b90a-89f2e55aa7b1,False,183,1748895850000,10,False,1,0,2,0,155675744,POLICE,12dd6e2b-5441-4d7c-b90a-89f2e55aa7b1
Santiago A,7,CI,112284607,alert-4453478/36227298-9d21-4f5b-9b76-ccab13963d1c,False,3,1748899368000,5,False,1,3,2,0,112283726,JAM,36227298-9d21-4f5b-9b76-ccab13963d1c
Santiago A,8,CI,272896025,alert-1712161609/52a2cfdb-5b26-445a-baa5-c88e8ecfc4c5,False,253,1745326800000,10,False,1,0,2,0,155731500,HAZARD,52a2cfdb-5b26-445a-baa5-c88e8ecfc4c5
Santiago C,14,CI,155731500,alert-1712099092/0e229c3c-2e8b-48aa-91be-1bc9511f1443,False,251,1745326800000,10,False,1,0,2,0,151144766,HAZARD,0e229c3c-2e8b-48aa-91be-1bc9511f1443
